"sample_id","treatment_group","sample_date","experiment_day","fungi_concentration","acetone_concentration","Azoxystrobin","Propiconazole","Pyraclostrobin","NO3.NO2","SiO2","soluble_reactive_phosphorus","Total.N","Total.P","N.P","Chlorophyll.a","Phaophytin.a","C.P.ratio","afdm","autotrophic_index","green..µg.cm..","diatom..µg.cm..","cyano..µg.cm..","P.D","Sum.BT"
"b5",6,"7/24/2024",7,10,10,NA,NA,NA,2.3,10.05,1.1,589,9.2,64.02173913,1.8,0.3,0.166666667,0.8366,2.66817876455707,0,1.27,0.52,2.442307692,4.232307692
"c2",6,"7/24/2024",7,10,10,NA,NA,NA,2.4,9.41,2.6,381,6.1,62.45901639,2.3,0.4,0.173913043,1.0499,2.66037046147244,0,1.29,0.54,2.388888889,4.218888889
"b2",3,"7/27/2024",10,0.01,0.01,0.026,NA,NA,2.2,10.64,1.5,278,5.6,49.64285714,1.4,0.4,0.285714286,1.1831,2.92740702939521,0,1.29,0.54,2.388888889,4.218888889
"b8",3,"7/27/2024",10,0.01,0.01,0.087,NA,NA,NA,10.63,1.2,312,6.5,48,1.4,0.4,0.285714286,0.6762,2.68484536164441,0,1.06,0.48,2.208333333,3.748333333
"b3",4,"7/27/2024",10,0.1,0.1,0.14,NA,NA,2.9,10.4,5.2,304,6.4,47.5,1.4,0.4,0.285714286,1.0408,2.87182303313584,0,0.97,0.49,1.979591837,3.439591837
"c1",5,"7/27/2024",10,1,1,NA,NA,NA,NA,10.16,2.9,219,4.8,45.625,1.6,0.4,0.25,0.8699,2.73614740879009,0,1.19,0.5,2.38,4.07
"b5",6,"7/27/2024",10,10,10,140,0.61,0.43,3.2,10.32,5.5,314,6.9,45.50724638,1.3,0.4,0.307692308,1.1331,2.9408228655245,0,0.97,0.53,1.830188679,3.330188679
"b4",5,"7/27/2024",10,1,1,1,NA,0.0048,2.2,10.25,1.9,304,6.7,45.37313433,2.2,0.8,0.363636364,1.8638,2.92848895859758,0,1.34,0.51,2.62745098,4.47745098
"b1",2,"7/24/2024",7,0,100,NA,NA,NA,1.6,10.08,1,417,9.3,44.83870968,1.5,0.4,0.266666667,0.7489,2.69920156634426,0,1.87,0.47,3.978723404,6.318723404
"a2",1,"7/27/2024",10,0,0,NA,NA,NA,NA,9.78,0.8,296,6.7,44.17910448,1.5,0.5,0.333333333,0.5764,2.58576143544828,0,0.94,0.33,2.848484848,4.118484848
"c4",2,"7/24/2024",7,0,100,NA,NA,NA,NA,10.19,0.8,265,6.1,43.44262295,1.5,0.5,0.333333333,0.8487,2.75342984157542,0,2.78,0.63,4.412698413,7.822698413
"b2",3,"7/24/2024",7,0.01,0.01,NA,NA,NA,NA,9.77,NA,286,6.7,42.68656716,2.2,0.6,0.272727273,1.1725,2.72750428796724,0,0.97,0.51,1.901960784,3.381960784
"b1",2,"7/27/2024",10,0,100,0.01,NA,NA,3.7,10.84,4.7,250,5.9,42.37288136,1.3,0.5,0.384615385,1.6233,3.09680309669842,0,0.59,0.19,3.105263158,3.885263158
"a1",1,"7/27/2024",10,0,0,0.0097,NA,NA,2.1,8.96,1.3,432,10.7,40.37383178,1,0.3,0.3,0.4266,2.63103769653674,0,0.69,0.27,2.555555556,3.515555556
"b7",2,"7/27/2024",10,0,100,NA,NA,NA,1.9,10.47,1,224,5.6,40,1.5,0.5,0.333333333,1.348,2.95408162985295,0,0.92,0.41,2.243902439,3.573902439
"c8",6,"7/27/2024",10,10,10,16,0.085,0.13,NA,10.05,1.2,222,5.8,38.27586207,1.9,0.5,0.263157895,1.3207,2.8426749174414,0,1.11,0.6,1.85,3.56
"c4",2,"7/27/2024",10,0,100,NA,NA,NA,NA,10.92,0.9,267,7,38.14285714,1.4,0.5,0.357142857,1.059,2.87934168336644,0,0.77,0.44,1.75,2.96
"c2",6,"7/27/2024",10,10,10,NA,NA,NA,NA,9.86,0.8,232,6.1,38.03278689,1.1,0.2,0.181818182,1.0938,2.99798177062612,NA,NA,NA,NA,NA
"b3",4,"7/24/2024",7,0.1,0.1,NA,NA,NA,NA,9.47,1.2,244,6.6,36.96969697,1.8,0.3,0.166666667,0.8154,2.6570558528571,0,1.23,0.48,2.5625,4.2725
"b6",7,"7/27/2024",10,100,100,14,0.077,0.085,NA,10.17,1.4,280,7.6,36.84210526,1.3,0.5,0.384615385,1.5023,3.06318896487936,0,1.62,0.42,3.857142857,5.897142857
"a1",1,"7/24/2024",7,0,0,NA,NA,NA,1.7,9.12,1.3,310,8.5,36.47058824,0.8,0.2,0.25,0.239,2.47675919177089,0.29,0.69,NA,NA,NA
"c3",7,"7/24/2024",7,100,100,NA,NA,NA,2.4,9.7,1.9,209,5.8,36.03448276,1.9,0.3,0.157894737,0.879,2.66617300898902,0,2.02,0.57,3.543859649,6.133859649
"c6",4,"7/27/2024",10,0.1,0.1,NA,NA,NA,2.1,10.08,3.7,216,6,36,1.8,0.5,0.277777778,1.3343,2.8705664589047,0,1.01,0.42,2.404761905,3.834761905
