Sample,Bucket
Group,Treatment
Date,Date
Day,Experiment Day
Fungi_Est,Placeholder for Fungicide Nominal Concentration
Acet_Est,Placeholder for Acetone Nominal Concentration
Azoxystrobin,Azoxystrobin Concentrations
Propiconazole,Propiconazole Concentrations
Pyraclostrobin,Pyraclostrobin Concentrations
NO3.NO2,NO3.NO2 Concentrations
SiO2,SiO2 Concentrations
SRP,SRP Concentrations
Total.N,Total N
Total.P,Total P
N/P,N/P Ration
Chlorophyll.a,Chlorophyll.a Stocks
Phaophytin.a,Phaophytin.a Stocks
C/P ratio,Rate between Chl and Phycocyanin (Brownness)
afdm,afdm Stocks
AI,Calculated Autotrophic Index
green (µg/cm²),green (µg/cm²) Stocks
diatom (µg/cm²),diatom (µg/cm²) Stocks
cyano (µg/cm²),cyano (µg/cm²) Stocks
P/D,P/D Ration
Sum BT,Sum of benthotorch numbers
